                       chr   start     end  length  tp1007 tp1012 tp1013 tp1014 tp1015     IT tp1335 pattern
Chr6:105501           Chr6  105501  165900   60400      NA     NA 0.6397 0.7084 0.5929     NA 0.6078     035
Chr6:165901           Chr6  165901  168400    2500      NA     NA 0.6397 0.7084     NA     NA     NA     030
Chr6:168401           Chr6  168401  169100     700      NA     NA     NA 0.7084     NA     NA     NA     010
Chr6:169101           Chr6  169101  174400    5300      NA     NA     NA     NA     NA     NA     NA     000
Chr6:174401           Chr6  174401  174500     100      NA     NA 0.5916     NA     NA     NA     NA     020
Chr6:174501           Chr6  174501  176600    2100      NA 0.5885 0.5916 0.7085 0.6110     NA 0.5815     075
Chr6:176601           Chr6  176601  181700    5100      NA     NA 0.5916 0.7085 0.6110     NA 0.5815     035
Chr6:181701           Chr6  181701  268500   86800      NA     NA     NA 0.7085 0.6110     NA 0.5815     015
Chr6:268501           Chr6  268501  272600    4100      NA     NA     NA     NA     NA     NA     NA     000
Chr6:272601           Chr6  272601  272900     300      NA     NA     NA     NA 0.5859     NA 0.5885     005
Chr6:272901           Chr6  272901  346300   73400      NA     NA     NA 0.6853 0.5859     NA 0.5885     015
Chr6:346301           Chr6  346301  346500     200      NA     NA     NA 0.6853     NA     NA 0.5885     011
Chr6:346501           Chr6  346501  347000     500      NA     NA     NA 0.6853     NA     NA     NA     010
Chr6:347001           Chr6  347001  660300  313300      NA     NA     NA     NA     NA     NA     NA     000
Chr6:660301           Chr6  660301  661300    1000      NA     NA     NA     NA     NA 0.3881     NA     002
Chr6:661301           Chr6  661301  771500  110200      NA     NA     NA     NA     NA     NA     NA     000
Chr6:771501           Chr6  771501  774700    3200      NA     NA     NA     NA     NA     NA 0.6927     001
Chr6:774701           Chr6  774701 1011200  236500      NA     NA     NA     NA     NA     NA     NA     000
Chr6:1011201          Chr6 1011201 1018400    7200      NA     NA     NA 0.7391     NA     NA     NA     010
Chr6:1018401          Chr6 1018401 1933900  915500      NA     NA     NA     NA     NA     NA     NA     000
Chr6:1933901          Chr6 1933901 1939500    5600      NA     NA 0.6457     NA     NA     NA     NA     020
Chr6:1939501          Chr6 1939501 1940700    1200      NA 0.6619 0.6457     NA     NA     NA     NA     060
Chr6:1940701          Chr6 1940701 1942200    1500      NA 0.6619 0.6457     NA     NA 0.1729     NA     062
Chr6:1942201          Chr6 1942201 1942300     100      NA     NA 0.6457     NA     NA 0.1729     NA     022
Chr6:1942301          Chr6 1942301 1997500   55200      NA     NA 0.6457     NA     NA     NA     NA     020
Chr6:1997501          Chr6 1997501 2010600   13100      NA     NA 0.6457     NA 0.6525     NA     NA     024
Chr6:2010601          Chr6 2010601 2018600    8000      NA     NA     NA     NA     NA     NA     NA     000
Chr6:2018601          Chr6 2018601 2033200   14600      NA     NA 0.7148     NA     NA     NA     NA     020
Chr6:2033201          Chr6 2033201 2033300     100      NA     NA 0.7148     NA     NA 0.6636     NA     022
Chr6:2033301          Chr6 2033301 2035100    1800      NA 0.6739 0.7148     NA     NA 0.6636     NA     062
Chr6:2035101          Chr6 2035101 2035400     300      NA 0.6739     NA     NA     NA 0.6636     NA     042
Chr6:2035401          Chr6 2035401 2038700    3300 0.30376 0.6739     NA     NA     NA 0.6636     NA     142
Chr6:2038701          Chr6 2038701 2041700    3000      NA     NA     NA     NA     NA 0.6636     NA     002
Chr6:2041701          Chr6 2041701 2060300   18600      NA     NA     NA     NA     NA     NA     NA     000
Chr6:2060301          Chr6 2060301 2060500     200      NA     NA     NA     NA 0.2417     NA     NA     004
Chr6:2060501          Chr6 2060501 2061400     900 0.15674     NA     NA     NA 0.2417     NA     NA     104
Chr6:2061401          Chr6 2061401 2061500     100      NA     NA     NA     NA 0.2417     NA     NA     004
Chr6:2061501          Chr6 2061501 2071479    9979      NA     NA     NA     NA     NA     NA     NA     000
Chr6:2071480          Chr6 2071480 2071479       0      NA     NA     NA     NA     NA     NA     NA     000
Chr7:1                Chr7       1  116800  116800      NA     NA     NA     NA     NA     NA     NA     000
Chr7:116801           Chr7  116801  134600   17800 0.61034 0.5826     NA     NA     NA     NA     NA     140
Chr7:134601           Chr7  134601  136100    1500 0.61034     NA     NA     NA     NA     NA     NA     100
Chr7:136101           Chr7  136101  467700  331600      NA     NA     NA     NA     NA     NA     NA     000
Chr7:467701           Chr7  467701  472700    5000      NA     NA     NA     NA     NA 0.7434     NA     002
Chr7:472701           Chr7  472701  481400    8700      NA     NA     NA     NA     NA     NA     NA     000
Chr7:481401           Chr7  481401  481600     200      NA     NA     NA     NA 0.7114     NA     NA     004
Chr7:481601           Chr7  481601  481800     200      NA 0.6239     NA     NA 0.7114     NA     NA     044
Chr7:481801           Chr7  481801  483500    1700      NA 0.6239 0.3750     NA 0.7114 0.3871     NA     066
Chr7:483501           Chr7  483501  483600     100      NA 0.6239 0.3750     NA 0.7114     NA     NA     064
Chr7:483601           Chr7  483601  484600    1000      NA     NA     NA     NA 0.7114     NA     NA     004
Chr7:484601           Chr7  484601  755900  271300      NA     NA     NA     NA     NA     NA     NA     000
Chr7:755901           Chr7  755901  758200    2300      NA 0.7004     NA     NA     NA     NA     NA     040
Chr7:758201           Chr7  758201  849500   91300      NA     NA     NA     NA     NA     NA     NA     000
Chr7:849501           Chr7  849501  852700    3200      NA     NA 0.7317     NA     NA     NA     NA     020
Chr7:852701           Chr7  852701 1001800  149100      NA     NA     NA     NA     NA     NA     NA     000
Chr7:1001801          Chr7 1001801 1009400    7600      NA 0.7346     NA     NA     NA     NA     NA     040
Chr7:1009401          Chr7 1009401 1522100  512700      NA     NA     NA     NA     NA     NA     NA     000
Chr7:1522101          Chr7 1522101 1546000   23900      NA     NA     NA 0.6641     NA     NA     NA     010
Chr7:1546001          Chr7 1546001 1785900  239900      NA     NA     NA     NA     NA     NA     NA     000
Chr7:1785901          Chr7 1785901 1788700    2800      NA     NA     NA     NA     NA 0.2063     NA     002
Chr7:1788701          Chr7 1788701 1992433  203733      NA     NA     NA     NA     NA     NA     NA     000
Chr7:1992434          Chr7 1992434 1992433       0      NA     NA     NA     NA     NA     NA     NA     000
Chr8:1                Chr8       1  115200  115200      NA     NA     NA     NA     NA     NA     NA     000
Chr8:115201           Chr8  115201  116800    1600      NA     NA 0.6390     NA     NA     NA     NA     020
Chr8:116801           Chr8  116801  207800   91000      NA     NA     NA     NA     NA     NA     NA     000
Chr8:207801           Chr8  207801  208000     200      NA 0.6655     NA     NA     NA     NA     NA     040
Chr8:208001           Chr8  208001  211500    3500 0.67456 0.6655     NA     NA     NA     NA     NA     140
Chr8:211501           Chr8  211501  211800     300 0.67456     NA     NA     NA     NA     NA     NA     100
Chr8:211801           Chr8  211801  606200  394400      NA     NA     NA     NA     NA     NA     NA     000
Chr8:606201           Chr8  606201  608100    1900      NA 0.5653     NA     NA     NA     NA     NA     040
Chr8:608101           Chr8  608101  691700   83600      NA     NA     NA     NA     NA     NA     NA     000
Chr8:691701           Chr8  691701  831700  140000      NA     NA     NA 0.6929     NA     NA     NA     010
Chr8:831701           Chr8  831701  846800   15100      NA     NA     NA     NA     NA     NA     NA     000
Chr8:846801           Chr8  846801  864200   17400      NA     NA     NA 0.6139     NA     NA     NA     010
Chr8:864201           Chr8  864201  869000    4800      NA     NA     NA     NA     NA     NA     NA     000
Chr8:869001           Chr8  869001  869100     100      NA     NA     NA     NA     NA     NA 0.5582     001
Chr8:869101           Chr8  869101  872800    3700      NA 0.5039     NA     NA     NA 0.1225 0.5582     043
Chr8:872801           Chr8  872801  873300     500      NA     NA     NA     NA     NA     NA 0.5582     001
Chr8:873301           Chr8  873301 1005100  131800      NA     NA     NA     NA     NA     NA     NA     000
Chr8:1005101          Chr8 1005101 1006900    1800      NA     NA     NA     NA     NA 0.3940     NA     002
Chr8:1006901          Chr8 1006901 1242600  235700      NA     NA     NA     NA     NA     NA     NA     000
Chr8:1242601          Chr8 1242601 1242800     200      NA 0.5885     NA     NA     NA     NA     NA     040
Chr8:1242801          Chr8 1242801 1244300    1500      NA 0.5885 0.2484     NA     NA     NA     NA     060
Chr8:1244301          Chr8 1244301 1244800     500      NA 0.5885     NA     NA     NA     NA     NA     040
Chr8:1244801          Chr8 1244801 1267197   22397      NA     NA     NA     NA     NA     NA     NA     000
Chr8:1267198          Chr8 1267198 1267197       0      NA     NA     NA     NA     NA     NA     NA     000
Chr9:1                Chr9       1    3900    3900      NA     NA     NA     NA     NA     NA     NA     000
Chr9:3901             Chr9    3901    5700    1800      NA     NA     NA     NA 0.4305     NA     NA     004
Chr9:5701             Chr9    5701  391400  385700      NA     NA     NA     NA     NA     NA     NA     000
Chr9:391401           Chr9  391401  392800    1400      NA     NA 0.3381     NA     NA     NA     NA     020
Chr9:392801           Chr9  392801  394400    1600      NA     NA 0.3381     NA     NA 0.2303     NA     022
Chr9:394401           Chr9  394401  395200     800      NA     NA 0.3381     NA     NA     NA     NA     020
Chr9:395201           Chr9  395201  463400   68200      NA     NA     NA     NA     NA     NA     NA     000
Chr9:463401           Chr9  463401  465500    2100      NA     NA     NA     NA     NA 0.6534     NA     002
Chr9:465501           Chr9  465501  776000  310500      NA     NA     NA     NA     NA     NA     NA     000
Chr9:776001           Chr9  776001  776400     400      NA     NA     NA     NA 0.7230     NA     NA     004
Chr9:776401           Chr9  776401  780200    3800      NA 0.6961     NA 0.6979 0.7230     NA     NA     054
Chr9:780201           Chr9  780201  780300     100      NA 0.6961     NA     NA 0.7230     NA     NA     044
Chr9:780301           Chr9  780301 1137600  357300      NA     NA     NA     NA     NA     NA     NA     000
Chr9:1137601          Chr9 1137601 1138100     500      NA     NA     NA     NA     NA 0.2027     NA     002
Chr9:1138101          Chr9 1138101 1139300    1200      NA     NA     NA     NA     NA     NA     NA     000
Chr9:1139301          Chr9 1139301 1182700   43400      NA     NA     NA     NA 0.6168     NA     NA     004
Chr9:1182701          Chr9 1182701 1183700    1000      NA     NA     NA     NA     NA     NA     NA     000
Chr9:1183701          Chr9 1183701 1191059    7359      NA     NA     NA     NA 0.3294     NA     NA     004
Chr9:1191060          Chr9 1191060 1191100      41      NA     NA     NA     NA 0.3294     NA     NA     004
Chr9:1191101          Chr9 1191101 1191100       0      NA     NA     NA     NA     NA     NA     NA     000
